idcomp	Directorio	Secuencia_p	Orden	Hogar	Regis	Area	P7250	P7260	P7280	P7280s1	P7310	P7320	P7350	P7350s1	P7360	P7390	P7390s1	P7420	P7420s1	P7420s2	P7420s3	P7420s4	P7420s5	P7420s6	P7420s7	P7420s8	P7420s7a1	P7422	P7422s1	P9460	Oficio1	Oficio2	Rama2d_d	Dsi	Dscy	Rama4d_d	Mes	Dpto	empleado
3752877111	3752877	1	1	1	70	50	17	48	1		1							.									.				59			1	2		6	50	0
3752878212	3752878	2	1	2	70	50	20	48	1		2	20	1		2	1										1		2		2	95	53	55	1	2	5529	6	50	0
3752939121	3752939	1	2	1	70	76	12	48	1		2	12	1		5	4										1		2		2	45	45	52	1	1	5224	6	76	0
3752941121	3752941	1	2	1	70	76	6	16	4		1							.									.				41			1	1		6	76	0
3752950121	3752950	1	2	1	70	76	16	48	4		2	50	4		1	1										1		2		2	55	55	74	1	2	7493	6	76	0
3752950141	3752950	1	4	1	70	76	20	48	4		2	20	4		1	1										1		2		2	54	54	85	1	2	8532	6	76	0
3752951111	3752951	1	1	1	70	76	108	60	4		2	3	1		2	2										1		2		2	41	77	52	1	2	5223	6	76	0
3752993151	3752993	1	5	1	70	11	1	48	1		2	20	1		9	4										1		2		2	45	45	52	1	1	5233	6	11	0
3752998121	3752998	1	2	1	70	11	2	56	1		2	1	1		5	2					1							1	600000	2	55	55	52	1	1	5246	6	11	0
3752999111	3752999	1	1	1	70	11	16	70	1		2	16	1		9	1			1		1							2		2	97	97	11	1	2	1110	6	11	0
3753158111	3753158	1	1	1	70	54	12	9	4		2	36	4		1	1										1		2		2	41	41	52	1	1	5225	6	54	0
3753160111	3753160	1	1	1	70	54	4	54	4		2	24	4		1	1										1		2		2	79	79	18	1	1	1810	6	54	0
3753160131	3753160	1	3	1	70	54	4	54	1		2	8	1		2	1										1		2		2	45	45	52	1	1	5234	6	54	0
3753177111	3753177	1	1	1	70	54	4	48	1		2	12	4		1	1								1				2		2	39	45	52	1	1	5262	6	54	0
3753188111	3753188	1	1	1	70	54	5	72	4		2	52	4		1	1										1		2		2	84	84	50	1	1	5020	6	54	0
3753192121	3753192	1	2	1	70	54	3	20	1		1							.									.				45			1	1		6	54	0
3753200111	3753200	1	1	1	70	54	8	48	1		2	10	1		3	2										1		2		2	32	32	70	1	1	7020	6	54	0
3753202121	3753202	1	2	1	70	54	3	50	4		2	3	4		1	1										1		1	100000	2	79	79	18	1	1	1810	6	54	0
3753205111	3753205	1	1	1	70	73	18	48	1		2	18	1		4	1										1		2		2	58	55	74	1	2	7491	6	73	0
3753206131	3753206	1	3	1	70	73	8	48	2		2	104	1		2	8										1		2		2	59	45	52	1	1	5233	6	73	0
3753215111	3753215	1	1	1	70	73	48	48	1		2	96	1		4	1										1		2		2	45	40	52	1	2	5233	6	73	0
3753220121	3753220	1	2	1	70	73	20	60	1		2	12	1		9	3										1		2		2	59	59	85	1	2	8511	6	73	0
3753223121	3753223	1	2	1	70	73	4	48	1		1							.									.				97			1	1		6	73	0
3753224131	3753224	1	3	1	70	73	60	48	1		2	12	1		3	4										1		2		2	17	17	92	1	2	9219	6	73	0
3753227121	3753227	1	2	1	70	73	6	48	1		2	6	1		2	4										1		2		2	45	45	52	1	1	5233	6	73	0
3753231131	3753231	1	3	1	70	73	2	48	1		2	3	1		5	2										1		1	700000	2	38	33	55	1	1	5521	6	73	0
3753233121	3753233	1	2	1	70	73	12	48	1		2	24	1		2	1										1		2		2	59	59	85	1	1	8513	6	73	0
3753274232	3753274	2	3	2	70	68	3	48	1		2	2	1		9	1										1		1	520000	2	33	33	52	1	1	5241	6	68	0
3753299131	3753299	1	3	1	70	17	28	48	1		2	28	1		4	1										1		2		1	59	59	85	1	2	8512	6	17	0
3753309121	3753309	1	2	1	70	17	8	48	4		2	24	5		4	1			1									2		2	41	21	18	1	1	1810	6	17	0
3753326131	3753326	1	3	1	70	50	2	48	1		2	104	1		2	1										1		2		2	39	45	55	1	1	5522	6	50	0
3753326181	3753326	1	8	1	70	50	25	48	1		2	25	1		9	1										1		2		2	45	45	50	1	2	5051	6	50	0
37533261101	3753326	1	10	1	70	50	2	48	1		2	2	1		6	2										1		1	720000	2	39	45	52	1	1	5234	6	50	0
3753328121	3753328	1	2	1	70	50	104	48	1		1							.									.				98			1	2		6	50	0
3753331111	3753331	1	1	1	70	50	52	48	4		2	52	1		6	1										1		2		2	61	58	70	1	2	7020	6	50	0
3753337111	3753337	1	1	1	70	50	2	48	4		2	2	1		2	1										1		1	300000	2	95	95	45	1	1	4521	6	50	0
3753340121	3753340	1	2	1	70	50	60	48	1		2	60	1		4	2										1		2		2	32	33	52	1	2	5241	6	50	0
3753342121	3753342	1	2	1	70	50	10	48	1		2	24	1		7	2										1		2		2	39	32	74	1	1	7492	6	50	0
3753345121	3753345	1	2	1	70	50	20	48	1		2	30	1		3	2										1		2		2	12	59	60	1	2	6042	6	50	0
3753348121	3753348	1	2	1	70	50	3	50	4		2	3	4		1	7										1		1	300000	2	97	97	63	1	1	6310	6	50	0
3753360111	3753360	1	1	1	70	50	1	40	1		2	1	1		5	8										1		1	1000000	2	39	39	74	1	1	7421	6	50	0
3753364111	3753364	1	1	1	70	50	8	56	1		2	8	1		2	1										1		2		2	95	95	45	1	1	4521	6	50	0
3753372111	3753372	1	1	1	70	50	56	56	1		2	56	1		3	1										1		2		2	39	39	52	1	2	5211	6	50	0
3753385111	3753385	1	1	1	70	50	154	48	1		2	154	1		2	1										1		2		2	55	45	52	1	2	5234	6	50	0
3753389121	3753389	1	2	1	70	50	8	48	1		2	8	1		4	1										1		2		2	45	45	52	1	1	5234	6	50	0
3753389151	3753389	1	5	1	70	50	4	48	1		2	4	1		4	1										1		2		2	53	53	55	1	1	5530	6	50	0
