idcomp	Directorio	Secuencia_p	Orden	Hogar	Regis	Area	P6440	P6450	P6460	P6460s1	P6400	P6422	P6424s2	P6424s3	P6424s1	P6426	P6430s1	P6480	P6480s1	P6500	P6510	P6510s1	P6510s2	P6590	P6590s1	P6600	P6600s1	P6610	P6610s1	P6620	P6620s1	P6585s2a1	P6585s3a1	P6585s4a1	P6585s3a2	P6585s2a2	P6585s1a2	P6585s2	P6585s3	P6585s1a1	P6585s4	P6585s1	P6580	P6580s1	P6580s2	P6630s3	P6630s4a1	P6630s3a1	P6630s2a1	P6630s1a1	P6630s4	P6630s2	P6630s1	P6640	P6765	P6765s1	P6772	P6750	P6760	P550	P6780	P6780s1	P6790	P6410	P6640s1	P9440	P6630s6	P6630s6a1	P6410s1	P6545s1	P6545	P6545s2	P6585s4a2	P6773s1	P6775	P6772s1	P388	P6800	P6810	P6810s1	P6850	P6830	P6830s1	P6870	P6880	P6880s1	P6920	P6930	P6940	P6960	P6980	P6980s1	P6980s2	P6980s3	P6980s4	P6980s5	P6980s6	P6980s7	P6980s8	P6980s7a1	P6990	P7020	P7026	P7028	P7028s1	P7040	P7045	P7050	P7050s1	P7070	P760	P9450	P6915s1	P6915	P7075	P7077	P390	P7090	P7100	P7110	P7120	P7130	P7140	P7140s1	P7140s2	P7140s3	P7140s4	P7140s5	P7140s6	P7140s7	P7140s8	P7140s9	P7140s9a1	P7150	P7160	P7170s1	P7170s5	P7170s6	P7180	P7240	P7240s1	P514	P515	Oficio	Rama2d	Oci	P6430	Rama4d	Rama4dp8	Rama2dp8	Inglabo	Mes	Dpto	empleado
3751908151	3751908	1	5	1	60	68	1	2	1		2	1	2	1	1	5		1		800000	2			2		2		2		2		74000				1		1	2		2	2	2			2					2	2	2	2		.						.	5	1		2	2				2						68	48		.	48			9	7		1	1	1	0	1	1									1	2				2						1		1				2				2														1	1	2	2	5		2	1	45	52	1	1	5211	7491	74	800000	6	68	1
3751909222	3751909	2	2	2	60	68	2									96																																							7		1	600000	1		3		12											2014	2	1	68	72		.	72			1	7		2				1								1		2	1	84	4		2					0	2		3				2				2														1	2	1	2	8		1	2	81	36	1	4	3611			600000	6	68	1
3751909232	3751909	2	3	2	60	68	1	2	2	4	1	1	2	1	1	26		1		900000	1	98	1	2		2		2		2		74000				1		1	2		2	2	1	60000	1	2				616000	2	2	1	1									12		7	2	2				2						68	48		.	55			9	7		1	1	1	2	1	1									1	1	24	4		2					0	1		1				2				1	1	1	1	2	2	2	2	2	2	2		2	1	2	1	1	2	3		1	1	45	51	1	1	5141			900000	6	68	1
3751909242	3751909	2	4	2	60	68	2									1																																							6			100000	1		1		1												3		68	15	1		15			1	1		2				1								1		2	1	2	1		2					1	2		5				1	25	1	1	1	1	1	1	2	1	2	2	2	2	2		1	1	1	2	1	2	3		2	1	3	93	1	4	9309			100000	6	68	1
3751910111	3751910	1	1	1	60	68	1	2	2	3	1	1	2	1	1	4		1		910000	2			2		2		2		2		74000				2		1	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						68	50		.	50			7	7		1	1	1	4	1	1									1	1	5	4		2					0	1		1				1	10	1	1	2														1	1	2	2	8		1	1	44	60	1	1	6042			910000	6	68	1
3751910141	3751910	1	4	1	60	68	1	1			1	1	2	2	2	36																																							3			900000	1		3		12												3		68	48		.	48			1	7		2				1								1		2	1	18	1		1	10	4		600000	2	2		4	1	7	68	2				1	1	1	1	2	2	2	2	2	2	2		1	2	2	2	1	2	8		2	2	92	18	1	4	1810			1500000	6	68	1
3751911111	3751911	1	1	1	60	68	1	2	2	4	1	2	2	2	2	36																																							4			1000000	1		3		12												3		68	110		.	110			1	4		1	2	2	10	1	1									1	1	48	1		2					0	2		1				2				2														1	1	1	2	8		2	2	98	60	1	4	6021			1000000	6	68	1
3751911121	3751911	1	2	1	60	68	2									1																																							6			35000	1		1		2												3		68	20	2		20			1	1		2				1								1		2	1	1	4		2					5	2		3				2				2														1	1	1	2	3		1	1	79	17	1	4	1741			35000	6	68	1
3751912121	3751912	1	2	1	60	68	1	1			1	1	2	2	2	5																																							4			900000	1		3		11												3		68	84		.	84			1	4		1	1	1	7	1	1									1	1	6	1		2					1	2		1				2				2														1	1	1	2	8		1	1	98	60	1	4	6041			900000	6	68	1
3751916121	3751916	1	2	1	60	68	1	2	1		1	1	2	1	1	21		1		2500000	2			2		2		2		2								2	2		2	2	2			2				2500000	2	2	1	2		.						.	12			2	2				2						68	48		.	48			9	7		1	2	1	21	1	1									1	1	22	1		2					0	1		1				1	15	2	1	2														1	1	1	2	2		1	1	11	85	1	1	8511			2500000	6	68	1
