idcomp	Directorio	Secuencia_p	Orden	Hogar	Regis	P6016	P6020	P6030	P6030s1	P6030s3	P6040	P6050	P6070	P6090	P6140	P6150	P6100	P6110	P6120	P6125	P6160	P6170	P6175	P6210	P6210s1	P6220	Area	Esc	Mes	Dpto
3748084111	3748084	1	1	1	10	1	2	1	8	1954	60	1	3	1			1	2	77500	2	1	2		6	2	3	66	13	6	66
3748084121	3748084	1	2	1	10	2	1	1	11	1951	63	2	3	1			1	5		2	1	2		4	9		66	9	6	66
3748084131	3748084	1	3	1	10	3	2	1	5	1988	27	3	6	1			1	1	25774	2	1	1	1	6	4	2	66	15	6	66
3748084141	3748084	1	4	1	10	4	1	1	7	1995	19	3	6	1			1	5		2	1	1	1	6	1	2	66	12	6	66
3748085111	3748085	1	1	1	10	1	2	1	9	1961	53	1	4	1			3			2	1	2		5	11	2	66	11	6	66
3748085121	3748085	1	2	1	10	2	2	1	3	1995	20	3	4	1			1	1	25774	2	1	2		5	10	1	66	10	6	66
3748085131	3748085	1	3	1	10	2	2	1	10	2012	2	4		1			1	5		2							66		6	66
3748086111	3748086	1	1	1	10	1	2	1	1	1969	46	1	4	1			3			2	1	2		4	7		66	7	6	66
3748086121	3748086	1	2	1	10	2	2	1	11	1996	18	3	6	2	1	5				2	1	1	1	4	7		66	7	6	66
3748086131	3748086	1	3	1	10	3	2	1	6	2002	12	3	6	1			3			2	1	1	1	4	0		66	5	6	66
3748086141	3748086	1	4	1	10	4	1	1	12	1981	33	5	6	1			3			2	1	2		4	6		66	6	6	66
3748087111	3748087	1	1	1	10	1	2	1	8	1989	25	1	4	1			3			2	1	2		5	11	2	66	11	6	66
3748087121	3748087	1	2	1	10	1	1	1	11	2009	5	3		1			3			2	2	1	1	2	0		66	0	6	66
3748087131	3748087	1	3	1	10	3	2	1	12	1968	46	5	4	2	1	5				2	1	2		5	11	2	66	11	6	66
3748088111	3748088	1	1	1	10	1	1	1	8	1950	64	1	2	1			3			2	1	2		4	7		66	7	6	66
3748088121	3748088	1	2	1	10	2	2	1	2	1977	38	2	2	1			1	3	80500	2	1	2		5	11	2	66	11	6	66
3748089111	3748089	1	1	1	10	1	2	1	6	1961	54	1	2	1			1	1	26000	2	1	2		6	2	3	66	13	6	66
3748089121	3748089	1	2	1	10	2	1	1	3	1989	26	3	6	1			3			2	1	2		6	1	3	66	12	6	66
3748090111	3748090	1	1	1	10	1	1	1	11	1981	33	1	2	1			3			1	1	2		3	5		66	5	6	66
3748090121	3748090	1	2	1	10	2	2	1	1	1995	20	2	2	1			3			2	1	2		4	7		66	7	6	66
3748090131	3748090	1	3	1	10	2	2	1	9	2011	3	3		1			3			2	2	2		1	0		66	0	6	66
3748090141	3748090	1	4	1	10	2	2	1	5	2013	2	3		1			3			2							66		6	66
3748091111	3748091	1	1	1	10	1	1	1	2	1947	68	1	3	1			3			2	2	2		1	0		66	0	6	66
3748091121	3748091	1	2	1	10	2	2	1	5	1949	66	2	3	1			1	5		1	1	2		3	1		66	1	6	66
3748091131	3748091	1	3	1	10	3	1	1	6	1985	30	3	4	1			1	3	80500	2	1	2		5	11	2	66	11	6	66
3748092111	3748092	1	1	1	10	1	1	1	10	1956	58	1	2	1			1	3	80500	2	1	2		5	11	2	66	11	6	66
3748092121	3748092	1	2	1	10	2	2	1	1	1960	55	2	2	1			1	5		2	1	2		4	8		66	8	6	66
3748093111	3748093	1	1	1	10	1	1	1	12	1983	31	1	2	1			1	1	26000	2	1	2		5	11	2	66	11	6	66
3748093121	3748093	1	2	1	10	2	2	1	4	1979	36	2	2	1			1	1	28000	2	1	2		6	2	3	66	13	6	66
3748093131	3748093	1	3	1	10	2	2	1	10	2006	8	3		1			1	5		2	1	1	1	3	1		66	1	6	66
3748094111	3748094	1	1	1	10	1	1	1	7	1962	52	1	2	1			3			2	1	2		3	5		66	5	6	66
3748094121	3748094	1	2	1	10	2	2	1	11	1970	44	2	2	1			3			2	1	2		5	11	2	66	11	6	66
3748094131	3748094	1	3	1	10	2	1	1	10	2008	6	3		1			3			2	1	1	1	3	0		66	0	6	66
3748095111	3748095	1	1	1	10	1	1	1	7	1954	60	1	2	1			3			2	1	2		4	7		66	7	6	66
3748095121	3748095	1	2	1	10	2	2	1	7	1961	53	2	2	1			1	5		2	1	2		5	11	2	66	11	6	66
3748096111	3748096	1	1	1	10	1	2	1	10	1977	37	1	5	1			3			2	1	2		4	8		66	8	6	66
3748096121	3748096	1	2	1	10	2	2	1	9	1997	17	3	6	1			3			2	1	1	1	4	0		66	5	6	66
3748096131	3748096	1	3	1	10	3	1	1	2	1957	58	5	4	1			3			2	1	2		3	5		66	5	6	66
3748097111	3748097	1	1	1	10	1	1	1	4	1972	43	1	2	1			1	3	80500	2	1	2		4	7		66	7	6	66
3748097121	3748097	1	2	1	10	2	2	1	7	1979	35	2	2	1			1	5		2	1	2		6	3	3	66	14	6	66
3748097131	3748097	1	3	1	10	3	2	1	6	1995	19	3	6	1			1	5		2	1	1	2	6	0	2	66	11	6	66
3748097141	3748097	1	4	1	10	2	1	1	10	1999	15	3	6	1			1	5		2	1	1	2	4	7		66	7	6	66
3748098111	3748098	1	1	1	10	1	1	1	3	1964	51	1	4	1			1	1	25774	2	1	1	2	5	11	2	66	11	6	66
3748099111	3748099	1	1	1	10	1	1	1	11	1973	41	1	3	1			2	1	88000	2	1	2		6	2	3	66	13	6	66
3748099121	3748099	1	2	1	10	2	2	1	2	1982	33	2	3	1			2	5		2	1	2		5	11	2	66	11	6	66
3748099131	3748099	1	3	1	10	2	1	1	9	2007	7	3		1			2	5		2	1	1	1	3	2		66	2	6	66
3748100111	3748100	1	1	1	10	1	1	1	12	1937	77	1	6	1			1	2	77322	2	1	2		3	1		66	1	6	66
3748101111	3748101	1	1	1	10	1	1	1	1	1969	46	1	4	2	1	60				2	1	2		5	11	2	66	11	6	66
3748102111	3748102	1	1	1	10	1	1	1	4	1976	39	1	6	1			3			2	1	2		5	11	2	66	11	6	66
3748103111	3748103	1	1	1	10	1	1	1	1	1967	48	1	4	1			3			2	1	2		3	3		66	3	6	66
3748104111	3748104	1	1	1	10	1	1	1	1	1965	50	1	2	1			1	3	80500	2	1	2		5	11	2	66	11	6	66
3748104121	3748104	1	2	1	10	2	2	1	10	1985	29	2	2	1			1	5		2	1	2		6	5	4	66	16	6	66
3748104131	3748104	1	3	1	10	1	2	1	4	2013	2	3		1			1	5		2							66		6	66
3748105111	3748105	1	1	1	10	1	1	1	5	1959	56	1	3	1			1	3	80500	2	1	2		4	6		66	6	6	66
3748105121	3748105	1	2	1	10	2	2	1	4	1966	49	2	3	1			1	5		2	1	2		4	7		66	7	6	66
3748105131	3748105	1	3	1	10	3	1	1	2	1990	25	3	6	1			1	1	32000	2	1	1	2	6	0	2	66	11	6	66
3748105141	3748105	1	4	1	10	4	2	1	12	1991	23	3	6	1			1	1	25774	2	1	1	2	6	0	2	66	11	6	66
3748106111	3748106	1	1	1	10	1	1	1	9	1953	61	1	3	1			1	5		2	1	2		5	11	2	66	11	6	66
3748106121	3748106	1	2	1	10	2	2	1	1	1954	61	2	3	1			1	5		2	1	2		3	5		66	5	6	66
3748106131	3748106	1	3	1	10	3	2	1	4	1984	31	3	6	1			1	1	36000	2	1	1	2	6	2	2	66	13	6	66
3748107111	3748107	1	1	1	10	1	1	1	7	1947	67	1	4	1			3			2	1	2		3	4		66	4	6	66
3748108111	3748108	1	1	1	10	1	1	1	1	1933	82	1	6	1			1	2	77322	2	1	2		3	3		66	3	6	66
3748109111	3748109	1	1	1	10	1	1	1	1	1963	52	1	5	2	2					2	1	2		3	3		66	3	6	66
3748153111	3748153	1	1	1	10	1	1	1	9	1987	27	1	3	1			3			2	1	1	1	6	0	2	17	11	6	17
3748153121	3748153	1	2	1	10	2	2	1	11	1978	36	2	3	1			3			2	1	1	1	6	0	2	17	11	6	17
3748153131	3748153	1	3	1	10	3	1	1	3	1999	16	3	6	1			1	5		2	1	1	2	4	6		17	6	6	17
3748154111	3748154	1	1	1	10	1	2	1	5	1972	43	1	3	1			3			2	1	2		5	11	2	17	11	6	17
3748154121	3748154	1	2	1	10	5	1	1	3	2002	13	3	6	1			3			2	1	1	2	4	6		17	6	6	17
3748154131	3748154	1	3	1	10	5	2	1	11	2004	10	3	6	1			3			2	1	1	1	3	4		17	4	6	17
3748154141	3748154	1	4	1	10	4	1	1	6	1947	67	5	3	1			3			2	2	2		1	0		17	0	6	17
3748154151	3748154	1	5	1	10	5	2	1	8	1949	65	5	3	1			3			2	1	2		3	5		17	5	6	17
