Año y mes	Promedio	Fin de mes
feb-89	346,83	350,22
mar-89	354,12	357,72
abr-89	361,83	365,61
may-89	369,93	373,70
jun-89	377,92	381,79
jul-89	385,71	389,20
ago-89	393,43	397,33
sep-89	401,80	405,84
oct-89	410,55	414,87
nov-89	419,76	424,16
dic-89	429,30	433,92
ene-90	440,08	445,69
feb-90	451,72	457,17
mar-90	463,40	468,96
abr-90	474,62	479,75
may-90	485,99	491,64
jun-90	497,31	502,39
jul-90	508,35	513,71
ago-90	519,94	525,60
sep-90	530,54	534,90
oct-90	540,46	545,61
nov-90	551,33	556,63
dic-90	563,38	568,73
ene-91	574,09	578,96
feb-91	584,07	588,63
mar-91	593,75	598,46
abr-91	603,72	608,45
may-91	613,76	618,61
jun-91	624,15	628,82
jul-91	634,40	639,37
ago-91	645,56	652,11
sep-91	660,52	667,18
oct-91	673,84	679,30
nov-91	687,59	694,70
dic-91	630,38	638,61
ene-92	645,18	644,27
feb-92	635,53	636,54
mar-92	640,33	641,59
abr-92	649,16	653,83
may-92	659,81	664,37
jun-92	675,79	697,57
jul-92	704,50	705,14
ago-92	693,72	691,68
sep-92	697,11	702,81
oct-92	707,65	716,88
nov-92	722,43	725,45
dic-92	733,42	737,98
ene-93	745,52	746,05
feb-93	749,08	758,03
mar-93	764,38	766,41
abr-93	771,79	774,94
may-93	779,71	779,56
jun-93	784,24	787,12
jul-93	795,08	801,35
ago-93	804,61	806,86
sep-93	809,66	810,84
oct-93	814,45	817,03
nov-93	814,08	811,73
dic-93	803,56	804,33
ene-94	816,15	818,38
feb-94	817,67	819,70
mar-94	819,76	819,51
abr-94	829,87	836,86
may-94	841,43	841,12
jun-94	830,94	819,64
jul-94	819,06	815,62
ago-94	814,82	816,30
sep-94	830,06	842,00
oct-94	839,32	838,55
nov-94	830,03	829,03
dic-94	829,37	831,27
ene-95	846,63	856,41
feb-95	850,90	856,99
mar-95	865,83	880,23
abr-95	873,39	877,90
may-95	876,95	876,36
jun-95	874,86	881,23
jul-95	893,22	897,63
ago-95	935,10	960,19
sep-95	964,17	966,78
oct-95	984,96	994,50
nov-95	1000,58	998,16
dic-95	988,15	987,65
ene-96	1011,19	1028,14
feb-96	1029,64	1039,81
mar-96	1044,98	1046,00
abr-96	1050,93	1058,90
may-96	1066,24	1073,06
jun-96	1071,96	1069,11
jul-96	1064,10	1056,74
ago-96	1044,84	1042,32
sep-96	1040,84	1025,06
oct-96	1015,78	1005,83
nov-96	998,18	1002,28
dic-96	1000,79	1005,33
ene-97	1027,06	1070,97
feb-97	1074,24	1080,51
mar-97	1062,16	1059,88
abr-97	1060,65	1063,11
may-97	1075,18	1077,09
jun-97	1082,37	1089,01
jul-97	1102,40	1109,65
ago-97	1132,70	1172,28
sep-97	1222,49	1246,27
oct-97	1262,89	1281,20
nov-97	1294,56	1305,66
dic-97	1296,70	1293,58
ene-98	1323,16	1342,00
feb-98	1346,12	1343,85
mar-98	1357,10	1358,03
abr-98	1360,65	1365,72
may-98	1386,28	1397,07
jun-98	1386,61	1363,04
jul-98	1371,54	1370,65
ago-98	1390,46	1440,87
sep-98	1520,52	1556,15
oct-98	1587,38	1575,08
nov-98	1562,71	1547,11
dic-98	1524,56	1542,11
ene-99	1570,01	1582,90
feb-99	1567,07	1568,30
mar-99	1550,15	1533,51
abr-99	1574,67	1604,44
may-99	1641,33	1671,67
jun-99	1693,99	1732,10
jul-99	1818,63	1809,50
ago-99	1876,93	1954,72
sep-99	1975,64	2017,27
oct-99	1978,71	1971,59
nov-99	1944,64	1923,77
dic-99	1888,46	1873,77
ene-00	1923,57	1976,72
feb-00	1950,64	1946,17
mar-00	1956,25	1951,56
abr-00	1986,77	2004,47
may-00	2055,69	2084,92
jun-00	2120,17	2139,11
jul-00	2161,34	2172,79
ago-00	2187,38	2208,21
sep-00	2213,76	2212,26
oct-00	2176,61	2158,36
nov-00	2136,63	2172,84
dic-00	2186,21	2229,18
ene-01	2241,40	2240,80
feb-01	2243,42	2257,45
mar-01	2278,78	2310,57
abr-01	2323,10	2346,73
may-01	2346,93	2324,98
jun-01	2305,66	2298,85
jul-01	2304,28	2298,27
ago-01	2288,90	2301,23
sep-01	2328,23	2332,19
oct-01	2320,65	2310,02
nov-01	2310,47	2308,59
dic-01	2306,90	2291,18
ene-02	2274,96	2264,82
feb-02	2286,70	2309,82
mar-02	2282,33	2261,23
abr-02	2263,11	2275,35
may-02	2310,24	2321,16
jun-02	2364,25	2398,82
jul-02	2506,72	2625,06
ago-02	2647,22	2703,55
sep-02	2751,23	2828,08
oct-02	2827,86	2773,73
nov-02	2726,66	2784,21
dic-02	2814,89	2864,79
ene-03	2913,00	2926,46
feb-03	2951,86	2956,31
mar-03	2959,01	2958,25
abr-03	2926,62	2887,82
may-03	2858,94	2853,33
jun-03	2826,95	2817,32
jul-03	2858,82	2880,40
ago-03	2867,29	2832,94
sep-03	2840,08	2889,39
oct-03	2876,20	2884,17
nov-03	2844,55	2836,05
dic-03	2807,20	2778,21
ene-04	2749,14	2742,47
feb-04	2717,94	2682,34
mar-04	2670,80	2678,16
abr-04	2639,60	2646,99
may-04	2719,43	2724,92
jun-04	2716,56	2699,58
jul-04	2653,32	2612,44
ago-04	2598,59	2551,43
sep-04	2552,78	2595,17
oct-04	2580,70	2575,19
nov-04	2530,19	2479,10
dic-04	2411,37	2389,75
ene-05	2362,96	2367,76
feb-05	2340,49	2323,77
mar-05	2353,71	2376,48
abr-05	2350,01	2348,32
may-05	2339,22	2332,79
jun-05	2331,79	2331,81
jul-05	2323,38	2308,49
ago-05	2306,19	2304,30
sep-05	2294,52	2289,61
oct-05	2292,55	2289,57
nov-05	2279,85	2274,04
dic-05	2278,91	2284,22
ene-06	2273,66	2265,65
feb-06	2256,24	2247,32
mar-06	2262,36	2289,98
abr-06	2334,29	2375,03
may-06	2417,99	2482,41
jun-06	2542,24	2633,12
jul-06	2511,74	2426,00
ago-06	2389,65	2396,63
sep-06	2398,88	2394,31
oct-06	2364,29	2315,38
nov-06	2290,46	2300,42
dic-06	2261,34	2238,79
ene-07	2237,06	2259,72
feb-07	2227,63	2224,12
mar-07	2201,39	2190,30
abr-07	2144,60	2110,67
may-07	2007,91	1930,64
jun-07	1923,76	1960,61
jul-07	1950,87	1971,80
ago-07	2058,28	2173,17
sep-07	2117,05	2023,19
oct-07	2003,26	1999,44
nov-07	2047,72	2060,42
dic-07	2014,20	2014,76
ene-08	1980,59	1939,60
feb-08	1903,27	1843,59
mar-08	1846,90	1821,60
abr-08	1796,13	1780,21
may-08	1778,01	1744,01
jun-08	1712,28	1923,02
jul-08	1783,09	1792,24
ago-08	1844,29	1932,20
sep-08	2066,04	2174,62
oct-08	2289,17	2359,52
nov-08	2329,16	2318,00
dic-08	2252,72	2243,59
ene-09	2252,98	2420,26
feb-09	2513,74	2555,89
mar-09	2477,21	2561,21
abr-09	2379,36	2289,73
may-09	2229,95	2140,66
jun-09	2090,04	2158,67
jul-09	2052,68	2043,37
ago-09	2018,97	2035,00
sep-09	1980,77	1922,00
oct-09	1904,86	1993,80
nov-09	1973,57	1997,47
dic-09	2017,05	2044,23
ene-10	1978,19	1982,29
feb-10	1952,89	1932,32
mar-10	1909,10	1928,59
abr-10	1940,36	1969,75
may-10	1984,36	1971,55
jun-10	1925,90	1916,46
jul-10	1874,52	1842,79
ago-10	1819,06	1823,74
sep-10	1805,60	1799,89
oct-10	1808,46	1831,64
nov-10	1863,67	1916,96
dic-10	1925,86	1913,98
ene-11	1866,64	1857,98
feb-11	1882,61	1895,56
mar-11	1884,38	1879,47
abr-11	1812,77	1768,19
may-11	1801,65	1817,34
jun-11	1782,54	1780,16
jul-11	1761,75	1777,82
ago-11	1785,04	1783,66
sep-11	1836,15	1915,10
oct-11	1910,38	1863,06
nov-11	1918,21	1967,18
dic-11	1934,08	1942,70
ene-12	1852,12	1815,08
feb-12	1783,56	1767,83
mar-12	1766,34	1792,07
abr-12	1775,06	1761,20
may-12	1793,28	1827,83
jun-12	1792,63	1784,60
jul-12	1784,43	1789,02
ago-12	1806,34	1830,50
sep-12	1803,18	1800,52
oct-12	1804,97	1829,89
nov-12	1820,29	1817,93
dic-12	1793,94	1768,23
ene-13	1770,01	1773,24
feb-13	1791,48	1816,42
mar-13	1809,89	1832,20
abr-13	1829,96	1828,79
may-13	1850,12	1891,48
jun-13	1909,50	1929,00
jul-13	1900,59	1890,33
ago-13	1903,66	1935,43
sep-13	1919,40	1914,65
oct-13	1885,91	1884,06
nov-13	1922,14	1931,88
dic-13	1934,08	1926,83
ene-14	1960,41	2008,26
feb-14	2040,51	2054,90
mar-14	2022,19	1965,32
abr-14	1939,27	1935,14
may-14	1915,46	1900,64
jun-14	1888,10	1881,19
jul-14	1858,40	1872,43
ago-14	1899,07	1918,62
sep-14	1971,34	2028,48
oct-14	2047,03	2050,52
nov-14	2127,25	2206,19
dic-14	2344,23	2392,46
ene-15	2397,69	2441,10
feb-15	2420,38	2496,99
mar-15	2586,58	2576,05
abr-15	2495,36	2388,06
may-15	2439,09	2533,79
jun-15	2554,94	2585,11
jul-15	2731,90	2866,04
